Id,Token,Label
318,"""lignes""",geogFeat
319,"""de""",aucun
320,"""récifs""",geogFeat
321,"""découvrants""",geogFeat
322,"""et""",aucun
323,"""accores""",aucun
324,""".""",aucun
325,"""Le""",aucun
326,"""récif""",geogFeat
327,"""du""",aucun
328,"""côté""",aucun
329,"""Est""",aucun
330,"""se""",aucun
331,"""distingue""",aucun
332,"""plus""",aucun
333,"""nettement""",aucun
334,""".""",aucun
335,"""37""",aucun
336,"""À""",aucun
337,"""partir""",aucun
338,"""de""",aucun
339,"""la""",aucun
340,"""partie""",aucun
341,"""médiane""",aucun
342,"""de""",aucun
343,"""la""",aucun
344,"""passe""",geogFeat
345,""",""",aucun
346,"""un""",aucun
347,"""chenal""",geogFeat
348,"""secondaire""",geogFeat
349,""",""",aucun
350,"""orienté""",aucun
351,"""vers""",aucun
352,"""le""",aucun
353,"""NW""",aucun
354,"""(""",aucun
355,"""9""",aucun
356,"""°""",aucun
357,"""45,24""",aucun
358,"""'""",aucun
359,"""S""",aucun
360,"""—""",aucun
361,"""47""",aucun
362,"""°""",aucun
363,"""37,26""",aucun
364,"""'""",aucun
365,"""E""",aucun
366,""")""",aucun
367,""",""",aucun
368,"""longe""",aucun
369,"""le""",aucun
370,"""côté""",aucun
371,"""NE""",aucun
372,"""du""",aucun
373,"""récif""",geogFeat
374,"""qui""",aucun
375,"""porte""",aucun
376,"""l’""",aucun
377,"""îlot""",geogFeat geogName
378,"""Pagode""",geogName name
379,""".""",aucun
380,"""01""",aucun
381,"""5.4.9.3""",aucun
382,""".""",aucun
383,"""Données""",aucun
384,"""portuaires""",aucun
385,"""07""",aucun
386,"""Caractéristiques""",aucun
387,"""nautiques""",aucun
388,"""Hydrographie""",aucun
389,"""locale""",aucun
390,"""Port""",geogFeat
391,"""d’""",geogFeat
392,"""échouage""",geogFeat
393,"""sur""",aucun
394,"""fond""",aucun
395,"""de""",aucun
396,"""vase""",aucun
397,"""molle""",aucun
398,""".""",aucun
399,"""Marée""",aucun
400,"""et""",aucun
401,"""courants""",aucun
402,"""Courant""",aucun
403,"""provoqué""",aucun
404,"""par""",aucun
405,"""le""",aucun
406,"""déversement""",aucun
407,"""de""",aucun
408,"""l’""",aucun
409,"""eau""",aucun
410,"""à""",aucun
411,"""travers""",aucun
412,"""les""",aucun
413,"""vannes""",geogFeat
414,"""d’""",aucun
415,"""assèchement""",aucun
416,"""des""",aucun
417,"""marais""",aucun
418,"""au""",aucun
419,"""fond""",aucun
420,"""du""",aucun
421,"""port""",geogFeat
422,""".""",aucun
423,"""Navires""",aucun
424,"""admis""",aucun
425,"""Infrastructures""",geogFeat
426,"""Installations""",geogFeat
427,"""portuaires""",geogFeat
428,"""Navires""",aucun
429,"""de""",aucun
430,"""pêche""",aucun
431,"""côtière""",aucun
432,"""et""",aucun
433,"""ostréicoles""",aucun
434,"""jusqu’""",aucun
435,"""à""",aucun
436,"""25""",aucun
437,"""m""",aucun
438,"""de""",aucun
439,"""longueur""",aucun
440,""",""",aucun
441,"""4""",aucun
442,"""m""",aucun
443,"""de""",aucun
444,"""large""",aucun
445,""",""",aucun
446,"""5""",aucun
447,"""m""",aucun
448,"""de""",aucun
449,"""TE""",aucun
450,"""en""",aucun
451,"""VE""",aucun
452,"""et""",aucun
453,"""3,5""",aucun
454,"""m""",aucun
455,"""de""",aucun
456,"""TE""",aucun
457,"""en""",aucun
458,"""ME""",aucun
459,""".""",aucun
460,"""1""",aucun
461,"""quai""",geogFeat
462,"""de""",aucun
463,"""70""",aucun
464,"""m""",aucun
465,"""le""",aucun
466,"""long""",aucun
467,"""de""",aucun
468,"""la""",aucun
469,"""rive""",geogFeat geogName
470,"""NE""",geogName name
471,"""près""",aucun
472,"""des""",aucun
473,"""vannes""",geogFeat
474,""".""",aucun
475,"""Petits""",aucun
476,"""appontements""",geogFeat
477,"""privés""",geogFeat
478,"""le""",aucun
479,"""long""",aucun
480,"""des""",aucun
481,"""rives""",geogFeat
482,"""de""",aucun
483,"""l’""",aucun
484,"""étier""",geogFeat
485,"""sur""",aucun
486,"""500""",aucun
487,"""m""",aucun
488,"""au""",aucun
489,"""total""",aucun
490,""".""",aucun
491,"""Outillage""",aucun
492,"""2""",aucun
493,"""cales""",geogFeat
494,""".""",aucun
495,"""Réparations""",aucun
496,"""1""",aucun
497,"""platin""",geogFeat
498,"""en""",aucun
499,"""maçonnerie""",aucun
500,"""utilisé""",aucun
501,"""pour""",aucun
502,"""le""",aucun
503,"""carénage""",aucun
504,"""en""",aucun
505,"""avant""",aucun
506,"""des""",aucun
507,"""vannes""",geogFeat
508,""".""",aucun
509,"""3""",aucun
510,"""ateliers""",geogFeat
511,"""de""",aucun
512,"""réparation""",aucun
513,"""mécanique""",aucun
514,""".""",aucun
515,"""Ravitaillement""",aucun
516,"""Poste""",geogFeat
517,"""de""",geogFeat
518,"""carburant""",geogFeat
519,""".""",aucun
520,"""Coopérative""",aucun
521,"""maritime""",aucun
522,""".""",aucun
523,"""Organisation""",aucun
524,"""Administration""",aucun
525,"""Régie""",aucun
526,"""municipale""",aucun
527,""".""",aucun
528,"""Mairie""",geogFeat geogName
529,"""de""",geogName
530,"""Bouin""",geogName name
531,""";""",aucun
532,"""tél""",aucun
533,""".""",aucun
534,""":""",aucun
535,"""02.51.49.74.14""",aucun
536,""";""",aucun
537,"""télécopie""",aucun
538,""":""",aucun
539,"""02.51.68.60.00""",aucun
540,""";""",aucun
541,"""mél""",aucun
542,""":""",aucun
543,"""mairie.de.bouin@wanadoo.fr""",aucun
544,""".""",aucun
545,"""Bureau""",geogFeat
546,"""du""",geogFeat
547,"""port""",geogFeat
548,"""à""",aucun
549,"""l’""",geogName name
550,"""Époids""",geogName name
551,""":""",aucun
552,"""02.51.68.70.53""",aucun
553,""".""",aucun
554,"""5.4.9.3""",aucun
555,""".""",aucun
556,"""—""",aucun
557,"""Port""",geogFeat geogName
558,"""de""",geogName
559,"""l’""",geogName name
560,"""Époids""",geogName name
561,"""(""",aucun
562,"""46""",aucun
563,"""°""",aucun
564,"""56,49""",aucun
565,"""'""",aucun
566,"""N""",aucun
567,"""—""",aucun
568,"""2""",aucun
569,"""°""",aucun
570,"""04,66""",aucun
571,"""'""",aucun
572,"""W""",aucun
573,""")""",aucun
574,""".""",aucun
575,"""extrait""",aucun
576,"""le""",aucun
577,""":""",aucun
578,"""2021""",aucun
579,"""-""",aucun
580,"""10""",aucun
581,"""-""",aucun
582,"""12""",aucun
583,"""—""",aucun
584,"""généré""",aucun
585,"""le""",aucun
586,""":""",aucun
587,"""2021""",aucun
588,"""-""",aucun
589,"""10""",aucun
590,"""-""",aucun
591,"""13""",aucun
592,"""–""",aucun
593,"""page""",aucun
594,"""343""",aucun
595,"""/""",aucun
596,"""0""",aucun
597,"""343""",aucun
598,"""DE""",aucun
599,"""LA""",aucun
600,"""POINTE""",geogFeat geogName
601,"""DU""",geogName
602,"""CROISIC""",geogName name
603,"""À""",aucun
604,"""L’""",aucun
605,"""ÎLE""",geogFeat geogName
606,"""DE""",geogName
607,"""NOIRMOUTIER""",geogName name
608,"""01""",aucun
609,"""5.4.4""",aucun
610,""".""",aucun
611,"""Pornic""",geogName name
612,"""et""",aucun
613,"""La""",geogName name
614,"""Noëveillard""",geogName name
615,"""07""",aucun
616,"""13""",aucun
617,"""5.4.4.A.""",aucun
618,"""—""",aucun
619,"""Pornic""",geogName name
620,"""(""",aucun
621,"""2018""",aucun
622,""")""",aucun
623,""".""",aucun
624,"""5.4.4.B.""",aucun
625,"""—""",aucun
626,"""La""",geogName name
627,"""Noëveillard""",geogName name
628,"""(""",aucun
629,"""2018""",aucun
630,""")""",aucun
631,""".""",aucun
632,"""01""",aucun
633,"""5.4.9""",aucun
634,""".""",aucun
635,"""Port""",geogFeat geogName
636,"""de""",geogName
637,"""l’""",geogName name
638,"""Époids""",geogName name
639,"""07""",aucun
640,"""5.4.9""",aucun
641,""".""",aucun
642,"""—""",aucun
643,"""Port""",geogFeat geogName
644,"""du""",geogName
645,"""Bec""",geogName name
646,"""(""",aucun
647,"""2018""",aucun
648,""")""",aucun
649,""".""",aucun
650,"""342""",aucun
651,"""extrait""",aucun
652,"""le""",aucun
653,""":""",aucun
654,"""2021""",aucun
655,"""-""",aucun
656,"""10""",aucun
657,"""-""",aucun
658,"""12""",aucun
659,"""—""",aucun
660,"""généré""",aucun
661,"""le""",aucun
662,""":""",aucun
663,"""2021""",aucun
664,"""-""",aucun
665,"""10""",aucun
666,"""-""",aucun
667,"""13""",aucun
668,"""–""",aucun
669,"""page""",aucun
670,"""342""",aucun
671,"""/""",aucun
672,"""0""",aucun
673,"""BAIE""",geogFeat geogName
674,"""DE""",geogName
675,"""BOURGNEUF""",geogName name
676,"""01""",aucun
677,"""6.2.1.6""",aucun
678,""".""",aucun
679,"""Accès""",aucun
680,"""07""",aucun
681,"""Les""",aucun
682,"""signaux""",geogFeat
683,"""lumineux""",geogFeat
684,"""internationaux""",aucun
685,"""d’""",aucun
686,"""entrée""",aucun
687,"""et""",aucun
688,"""de""",aucun
689,"""sortie""",aucun
690,"""sont""",aucun
691,"""montrés""",aucun
692,"""de""",aucun
693,"""jour""",aucun
694,"""comme""",aucun
695,"""de""",aucun
696,"""nuit""",aucun
697,"""à""",aucun
698,"""la""",aucun
699,"""tour""",geogFeat
700,"""des""",geogFeat
701,"""signaux""",geogFeat
702,"""(""",aucun
703,"""43""",aucun
704,"""°""",aucun
705,"""31,68""",aucun
706,"""'""",aucun
707,"""N""",aucun
708,"""—""",aucun
709,"""1""",aucun
710,"""°""",aucun
711,"""31,29""",aucun
712,"""'""",aucun
713,"""W""",aucun
714,""")""",aucun
715,""",""",aucun
716,"""sur""",aucun
717,"""le""",aucun
718,"""côté""",aucun
719,"""Sud""",aucun
720,"""de""",aucun
721,"""l’""",aucun
722,"""entrée""",geogFeat
723,"""de""",aucun
724,"""l’""",aucun
725,"""Adour""",geogName name
726,""".""",aucun
727,"""En""",aucun
728,"""cas""",aucun
729,"""de""",aucun
730,"""discordance""",aucun
731,"""entre""",aucun
732,"""un""",aucun
733,"""signal""",geogFeat
734,"""portuaire""",geogFeat
735,"""et""",aucun
736,"""un""",aucun
737,"""ordre""",aucun
738,"""de""",aucun
739,"""Bayonne""",aucun
740,"""-""",aucun
741,"""port""",aucun
742,""",""",aucun
743,"""c’""",aucun
744,"""est""",aucun
745,"""l’""",aucun
746,"""ordre""",aucun
747,"""de""",aucun
748,"""Bayonne""",aucun
749,"""-""",aucun
750,"""port""",aucun
751,"""qui""",aucun
752,"""est""",aucun
753,"""à""",aucun
754,"""prendre""",aucun
755,"""en""",aucun
756,"""considération""",aucun
757,""".""",aucun
758,"""13""",aucun
759,"""L’""",aucun
760,"""entrée""",geogFeat
761,"""dans""",aucun
762,"""l’""",aucun
763,"""Adour""",geogName name
764,"""est""",aucun
765,"""canalisée""",aucun
766,"""entre""",aucun
767,"""deux""",aucun
768,"""jetées""",geogFeat
769,"""parallèles""",aucun
770,""",""",aucun
771,"""portant""",aucun
772,"""un""",aucun
773,"""feu""",geogFeat
774,"""à""",aucun
775,"""leur""",aucun
776,"""extrémité""",aucun
777,""",""",aucun
778,"""débordées""",aucun
779,"""par""",aucun
780,"""des""",aucun
781,"""enrochements""",geogFeat
782,"""jusqu’""",aucun
783,"""à""",aucun
784,"""20""",aucun
785,"""m""",aucun
786,"""en""",aucun
787,"""rivière""",geogFeat
788,""".""",aucun
789,"""La""",aucun
790,"""passe""",geogFeat
791,""",""",aucun
792,"""ouverte""",aucun
793,"""à""",aucun
794,"""l’""",aucun
795,"""WNW""",aucun
796,""",""",aucun
797,"""est""",aucun
798,"""large""",aucun
799,"""de""",aucun
800,"""60""",aucun
801,"""m""",aucun
802,"""entre""",aucun
803,"""les""",aucun
804,"""isobathes""",aucun
805,"""de""",aucun
806,"""10""",aucun
807,"""m.""",aucun
808,"""Les""",aucun
809,"""jetées""",geogFeat
810,"""sont""",aucun
811,"""prolongées""",aucun
812,"""en""",aucun
813,"""amont""",aucun
814,"""par""",aucun
815,"""des""",aucun
816,"""brise""",geogFeat
817,"""-""",geogFeat
818,"""lames""",geogFeat
819,"""qui""",aucun
820,"""portent""",aucun
821,"""un""",aucun
822,"""balisage""",geogFeat
823,"""latéral""",geogFeat
824,"""lumineux""",geogFeat
825,""".""",aucun
826,"""19""",aucun
827,"""Pour""",aucun
828,"""franchir""",aucun
829,"""la""",aucun
830,"""passe""",geogFeat
831,"""on""",aucun
832,"""suit""",aucun
833,"""l’""",aucun
834,"""alignement""",geogFeat
835,"""(""",aucun
836,"""dit""",aucun
837,"""alignement""",geogFeat geogName
838,"""du""",geogName
839,"""Boucau""",geogName name
840,""")""",aucun
841,"""à""",aucun
842,"""090""",aucun
843,"""°""",aucun
844,"""de""",aucun
845,"""deux""",aucun
846,"""feux""",geogFeat
847,"""portés""",aucun
848,"""par""",aucun
849,"""deux""",aucun
850,"""pylônes""",geogFeat
851,"""métalliques""",aucun
852,"""blancs""",aucun
853,"""à""",aucun
854,"""sommet""",geogFeat
855,"""rouge""",aucun
856,"""(""",aucun
857,"""6""",aucun
858,"""et""",aucun
859,"""12""",aucun
860,"""m""",aucun
861,""")""",aucun
862,""".""",aucun
863,"""Le""",aucun
864,"""pylône""",geogFeat
865,"""postérieur""",geogFeat
866,"""porte""",aucun
867,"""un""",aucun
868,"""panneau""",geogFeat
869,"""rouge""",aucun
870,"""avec""",aucun
871,"""bande""",aucun
872,"""blanche""",aucun
873,"""et""",aucun
874,"""le""",aucun
875,"""pylône""",geogFeat
876,"""antérieur""",geogFeat
877,"""un""",aucun
878,"""panneau""",geogFeat
879,"""blanc""",aucun
880,"""avec""",aucun
881,"""bande""",aucun
882,"""rouge""",aucun
883,""".""",aucun
884,"""Il""",aucun
885,"""convient""",aucun
886,"""de""",aucun
887,"""suivre""",aucun
888,"""ensuite""",aucun
889,"""l’""",aucun
890,"""alignement""",geogFeat
891,"""à""",aucun
892,"""111,6""",aucun
893,"""°""",aucun
894,"""de""",aucun
895,"""deux""",aucun
896,"""feux""",geogFeat
897,"""allumés""",aucun
898,"""jour""",aucun
899,"""et""",aucun
900,"""nuit""",aucun
901,""".""",aucun
902,"""Le""",aucun
903,"""feu""",geogFeat
904,"""antérieur""",geogFeat
905,"""est""",aucun
906,"""porté""",aucun
907,"""par""",aucun
908,"""un""",aucun
909,"""mâtereau""",geogFeat
910,"""(""",aucun
911,"""4""",aucun
912,"""m""",aucun
913,""")""",aucun
914,"""équipé""",aucun
915,"""d’""",aucun
916,"""un""",aucun
917,"""cadre""",geogFeat
918,"""ajouré""",aucun
919,"""avec""",aucun
920,"""une""",aucun
921,"""bande""",aucun
922,"""centrale""",aucun
923,"""verte""",aucun
924,"""et""",aucun
925,"""deux""",aucun
926,"""bandes""",aucun
927,"""latérales""",aucun
928,"""blanches""",aucun
929,""",""",aucun
930,"""le""",aucun
931,"""feu""",geogFeat
932,"""postérieur""",geogFeat
933,"""par""",aucun
934,"""la""",aucun
935,"""tour""",geogFeat
936,"""carrée""",aucun
937,"""blanche""",aucun
938,"""(""",aucun
939,"""9""",aucun
940,"""m""",aucun
941,""")""",aucun
942,"""du""",aucun
943,"""bâtiment""",geogFeat
944,"""de""",geogFeat
945,"""la""",geogFeat
946,"""capitainerie""",geogFeat
947,""".""",aucun
948,"""2134""",aucun
949,"""25""",aucun
950,"""De""",aucun
951,"""l’""",aucun
952,"""extrémité""",aucun
953,"""Est""",aucun
954,"""des""",aucun
955,"""jetées""",geogFeat
956,"""(""",aucun
957,"""au""",aucun
958,"""Nord""",aucun
959,"""de""",aucun
960,"""la""",aucun
961,"""tour""",geogFeat
962,"""des""",geogFeat
963,"""signaux""",geogFeat
964,""")""",aucun
965,"""jusqu’""",aucun
966,"""au""",aucun
967,"""premier""",aucun
968,"""coude""",aucun
969,"""de""",aucun
970,"""la""",aucun
971,"""rivière""",geogFeat
972,""",""",aucun
973,"""aucun""",aucun
974,"""alignement""",geogFeat
975,"""ne""",aucun
976,"""matérialise""",aucun
977,"""l’""",aucun
978,"""axe""",geogFeat
979,"""du""",aucun
980,"""chenal""",geogFeat
981,""".""",aucun
982,"""Sur""",aucun
983,"""la""",aucun
984,"""rive""",geogFeat geogName
985,"""gauche""",geogName name
986,""",""",aucun
987,"""deux""",aucun
988,"""blocs""",geogFeat
989,"""de""",aucun
990,"""ciment""",aucun
991,""",""",aucun
992,"""vestiges""",geogFeat
993,"""d’""",aucun
994,"""un""",aucun
995,"""ancien""",aucun
996,"""appontement""",geogFeat
997,""",""",aucun
998,"""débordent""",aucun
999,"""la""",aucun
1000,"""digue""",geogFeat geogName
1001,"""Est""",geogName name
1002,"""du""",aucun
1003,"""port""",geogFeat geogName
1004,"""de""",geogFeat geogName
1005,"""plaisance""",geogFeat geogName
1006,"""d’""",geogName
1007,"""Anglet""",geogName name
1008,""",""",aucun
1009,"""200""",aucun
1010,"""m""",aucun
1011,"""en""",aucun
1012,"""aval""",aucun
1013,"""d’""",aucun
1014,"""une""",aucun
1015,"""digue""",geogFeat
1016,"""submersible""",geogFeat
1017,"""marquée""",aucun
1018,"""par""",aucun
1019,"""un""",aucun
1020,"""feu""",geogFeat
1021,"""et""",aucun
1022,"""par""",aucun
1023,"""la""",aucun
1024,"""balise""",geogFeat geogName
1025,"""latérale""",geogFeat geogName
1026,"""tribord""",geogFeat geogName
1027,"""«""",geogName
1028,"""9""",geogName name
1029,"""»""",geogName
1030,""".""",aucun
1031,"""À""",aucun
1032,"""50""",aucun
1033,"""m""",aucun
1034,"""en""",aucun
1035,"""amont""",aucun
1036,"""de""",aucun
1037,"""cette""",aucun
1038,"""balise""",geogFeat
1039,"""se""",aucun
1040,"""trouve""",aucun
1041,"""un""",aucun
1042,"""ponton""",geogFeat
1043,"""réservé""",aucun
1044,"""aux""",aucun
1045,"""remorqueurs""",aucun
1046,"""et""",aucun
1047,"""aux""",aucun
1048,"""pilotines""",aucun
1049,"""du""",aucun
1050,"""port""",geogFeat
1051,""".""",aucun
1052,"""31""",aucun
1053,"""Dans""",aucun
1054,"""le""",aucun
1055,"""premier""",aucun
1056,"""coude""",aucun
1057,""",""",aucun
1058,"""l’""",aucun
1059,"""axe""",geogFeat
1060,"""du""",aucun
1061,"""chenal""",geogFeat
1062,"""est""",aucun
1063,"""matérialisé""",aucun
1064,""",""",aucun
1065,"""pour""",aucun
1066,"""les""",aucun
1067,"""navires""",aucun
1068,"""faisant""",aucun
1069,"""route""",aucun
1070,"""vers""",aucun
1071,"""l’""",aucun
1072,"""amont""",aucun
1073,""",""",aucun
1074,"""par""",aucun
1075,"""l’""",aucun
1076,"""alignement""",geogFeat
1077,"""lumineux""",geogFeat
1078,"""à""",aucun
1079,"""139,9""",aucun
1080,"""°""",aucun
1081,"""des""",aucun
1082,"""feux""",geogFeat geogName
1083,"""de""",geogName
1084,"""Saint-Gobain""",geogName name
1085,"""(""",aucun
1086,"""43""",aucun
1087,"""°""",aucun
1088,"""31,05""",aucun
1089,"""'""",aucun
1090,"""N""",aucun
1091,"""—""",aucun
1092,"""1""",aucun
1093,"""°""",aucun
1094,"""29,30""",aucun
1095,"""'""",aucun
1096,"""W""",aucun
1097,""")""",aucun
1098,"""constitué""",aucun
1099,"""de""",aucun
1100,"""deux""",aucun
1101,"""panneaux""",geogFeat
1102,"""rouge""",aucun
1103,"""et""",aucun
1104,"""blanc""",aucun
1105,""".""",aucun
1106,"""Pour""",aucun
1107,"""les""",aucun
1108,"""navires""",aucun
1109,"""faisant""",aucun
1110,"""route""",aucun
1111,"""vers""",aucun
1112,"""l’""",aucun
1113,"""aval""",aucun
1114,""",""",aucun
1115,"""par""",aucun
1116,"""l’""",aucun
1117,"""alignement""",geogFeat
1118,"""lumineux""",geogFeat
1119,"""à""",aucun
1120,"""322,4""",aucun
1121,"""°""",aucun
1122,"""des""",aucun
1123,"""feux""",geogFeat geogName
1124,"""des""",geogName
1125,"""Forges""",geogName name
1126,"""(""",aucun
1127,"""43""",aucun
1128,"""°""",aucun
